Variables;result
y_plant5_pipe5_d4;0,0280510992275699
x_plant5_pipe6_d1;0
y_plant5_pipe6_d1;1
x_plant5_pipe6_d3;0
y_plant5_pipe6_d3;0
x_plant5_pipe6_d4;0
y_plant5_pipe6_d4;0
x_plant5_pipe7_d1;0
y_plant5_pipe7_d1;1
x_plant5_pipe7_d3;0
y_plant5_pipe7_d3;0
x_plant5_pipe7_d4;0
y_plant5_pipe7_d4;0
x_plant5_pipe8_d1;0
y_plant5_pipe8_d1;1
x_plant5_pipe8_d3;0
y_plant5_pipe8_d3;0
x_plant5_pipe8_d4;0
y_plant5_pipe8_d4;0
x_plant5_pipe9_d1;0
y_plant5_pipe9_d1;1
x_plant5_pipe9_d3;0
y_plant5_pipe9_d3;0
x_plant5_pipe9_d4;0
y_plant5_pipe9_d4;0
x_plant5_pipe10_d1;0
y_plant5_pipe10_d1;1
x_plant5_pipe10_d3;0
y_plant5_pipe10_d3;0
x_plant5_pipe10_d4;0
y_plant5_pipe10_d4;0
x_plant5_pipe11_d1;0
y_plant5_pipe11_d1;1
x_plant5_pipe11_d3;0
y_plant5_pipe11_d3;0
x_plant5_pipe11_d4;0
y_plant5_pipe11_d4;0
x_plant5_pipe12_d1;0
y_plant5_pipe12_d1;1
x_plant5_pipe12_d3;0
y_plant5_pipe12_d3;0
x_plant5_pipe12_d4;0
y_plant5_pipe12_d4;0
x_plant5_pipe13_d1;0
y_plant5_pipe13_d1;1
x_plant5_pipe13_d3;0
y_plant5_pipe13_d3;0
x_plant5_pipe13_d4;0
y_plant5_pipe13_d4;0
x_plant5_pipe14_d1;0
y_plant5_pipe14_d1;1
x_plant5_pipe14_d3;0
y_plant5_pipe14_d3;0
x_plant5_pipe14_d4;0
y_plant5_pipe14_d4;0
x_plant5_pipe15_d1;307,56
y_plant5_pipe15_d1;1
x_plant5_pipe15_d3;0
y_plant5_pipe15_d3;0
x_plant5_pipe15_d4;0
y_plant5_pipe15_d4;0
x_plant5_pipe16_d1;0
y_plant5_pipe16_d1;1
x_plant5_pipe16_d3;0
y_plant5_pipe16_d3;0
x_plant5_pipe16_d4;0
y_plant5_pipe16_d4;0
x_plant5_pipe17_d1;0
y_plant5_pipe17_d1;1
x_plant5_pipe17_d3;0
y_plant5_pipe17_d3;0
x_plant5_pipe17_d4;0
y_plant5_pipe17_d4;0
x_plant5_pipe18_d1;0
y_plant5_pipe18_d1;1
x_plant5_pipe18_d3;0
y_plant5_pipe18_d3;0
x_plant5_pipe18_d4;0
y_plant5_pipe18_d4;0
x_plant5_pipe19_d1;72,83
y_plant5_pipe19_d1;1
x_plant5_pipe19_d3;0
y_plant5_pipe19_d3;0
x_plant5_pipe19_d4;0
y_plant5_pipe19_d4;0
x_plant5_pipe20_d1;0
y_plant5_pipe20_d1;1
x_plant5_pipe20_d3;0
y_plant5_pipe20_d3;0
x_plant5_pipe20_d4;0
y_plant5_pipe20_d4;0
x_plant5_pipe21_d1;86,8100000000001
y_plant5_pipe21_d1;1
x_plant5_pipe21_d3;0
y_plant5_pipe21_d3;0
x_plant5_pipe21_d4;0
y_plant5_pipe21_d4;0
x_plant5_pipe22_d1;0
y_plant5_pipe22_d1;1
x_plant5_pipe22_d3;0
y_plant5_pipe22_d3;0
x_plant5_pipe22_d4;0
y_plant5_pipe22_d4;0
x_plant5_pipe23_d1;0
y_plant5_pipe23_d1;1
x_plant5_pipe23_d3;0
y_plant5_pipe23_d3;0
x_plant5_pipe23_d4;0
y_plant5_pipe23_d4;0
x_plant5_pipe24_d1;0
y_plant5_pipe24_d1;1
x_plant5_pipe24_d3;0
y_plant5_pipe24_d3;0
x_plant5_pipe24_d4;0
y_plant5_pipe24_d4;0
x_plant5_pipe25_d1;0
y_plant5_pipe25_d1;1
x_plant5_pipe25_d3;0
y_plant5_pipe25_d3;0
x_plant5_pipe25_d4;0
y_plant5_pipe25_d4;0
x_plant5_pipe26_d1;0
y_plant5_pipe26_d1;1
x_plant5_pipe26_d3;0
y_plant5_pipe26_d3;0
x_plant5_pipe26_d4;0
y_plant5_pipe26_d4;0
x_plant5_pipe27_d1;0
y_plant5_pipe27_d1;1
x_plant5_pipe27_d3;0
y_plant5_pipe27_d3;0
x_plant5_pipe27_d4;0
y_plant5_pipe27_d4;0
x_plant6_pipe1_d1;0
y_plant6_pipe1_d1;1
x_plant6_pipe1_d3;0
y_plant6_pipe1_d3;0
x_plant6_pipe1_d4;0
y_plant6_pipe1_d4;0
x_plant6_pipe2_d1;241,554355317885
y_plant6_pipe2_d1;0,684289958407605
x_plant6_pipe2_d3;0
y_plant6_pipe2_d3;0
x_plant6_pipe2_d4;642,785644682115
y_plant6_pipe2_d4;0,315710041592395
x_plant6_pipe3_d1;0
y_plant6_pipe3_d1;1
x_plant6_pipe3_d3;0
y_plant6_pipe3_d3;0
x_plant6_pipe3_d4;0
y_plant6_pipe3_d4;0
x_plant6_pipe4_d1;0
y_plant6_pipe4_d1;1
x_plant6_pipe4_d3;0
y_plant6_pipe4_d3;0
x_plant6_pipe4_d4;0
y_plant6_pipe4_d4;0
x_plant6_pipe5_d1;0
y_plant6_pipe5_d1;1
x_plant6_pipe5_d3;0
y_plant6_pipe5_d3;0
x_plant6_pipe5_d4;0
y_plant6_pipe5_d4;0
x_plant6_pipe6_d1;0
y_plant6_pipe6_d1;1
x_plant6_pipe6_d3;0
y_plant6_pipe6_d3;0
x_plant6_pipe6_d4;0
y_plant6_pipe6_d4;0
x_plant6_pipe7_d1;0
y_plant6_pipe7_d1;1
x_plant6_pipe7_d3;0
y_plant6_pipe7_d3;0
x_plant6_pipe7_d4;0
y_plant6_pipe7_d4;0
x_plant6_pipe8_d1;0
y_plant6_pipe8_d1;1
x_plant6_pipe8_d3;0
y_plant6_pipe8_d3;0
x_plant6_pipe8_d4;0
y_plant6_pipe8_d4;0
x_plant6_pipe9_d1;0
y_plant6_pipe9_d1;1
x_plant6_pipe9_d3;0
y_plant6_pipe9_d3;0
x_plant6_pipe9_d4;0
